date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:28	21950/21950	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:42%20GMT	https://preview.colorlib.com/theme/calvino/	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/index.html	(from )
10:59:29	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
10:59:29	2897/2897	---M--	200	added ('OK')	image/png	etag:%22b51-5bb3fcf8be540%22	https://preview.colorlib.com/theme/calvino/assets/img/icon/favicon.png	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/assets/img/icon/favicon.png	(from https://preview.colorlib.com/theme/calvino/)
10:59:29	25815/25815	---M-Z	200	added ('OK')	text/css	etag:%2264d7-5c1f9acb72f68-gzip%22	https://preview.colorlib.com/theme/calvino/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/calvino/)
10:59:29	183/183	---M-Z	200	added ('OK')	text/css	etag:%22b7-5c1f9acb72f68-gzip%22	https://preview.colorlib.com/theme/calvino/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/calvino/)
10:59:29	2506/2506	---M-Z	200	added ('OK')	text/css	etag:%229ca-5c220b779ba4e-gzip%22	https://preview.colorlib.com/theme/calvino/assets/css/slicknav.css	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/calvino/)
10:59:30	34336/34336	---M-Z	200	added ('OK')	text/css	etag:%228620-5c1f9acb72f68-gzip%22	https://preview.colorlib.com/theme/calvino/assets/css/animate.min.css	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/calvino/)
10:59:30	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9acb72f68-gzip%22	https://preview.colorlib.com/theme/calvino/assets/css/magnific-popup.css	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/assets/css/magnific-popup.css	(from https://preview.colorlib.com/theme/calvino/)
10:59:30	2602/2602	---M-Z	200	added ('OK')	text/css	etag:%22a2a-5c1f9acb72f68-gzip%22	https://preview.colorlib.com/theme/calvino/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/assets/css/fontawesome-all.min.css	(from https://preview.colorlib.com/theme/calvino/)
10:59:30	1077/1077	---M-Z	200	added ('OK')	text/css	etag:%22435-5c1f9acb73f08-gzip%22	https://preview.colorlib.com/theme/calvino/assets/css/themify-icons.css	C:/My%20Web%20Sites/MZ/preview.colorlib.com/theme/calvino/assets/css/themify-icons.css	(from https://preview.colorlib.com/theme/calvino/)
